source,destination,bytes,sha256,notes
Critical Infrastructure Analysis.ipynb,compound_flood/exposure/notebooks/Critical Infrastructure Analysis.ipynb,197476,f3568737842424447c8658d8ca42ab84e1eb0d8755663c443e7d7e974e4057fa,Embedded absolute paths retained
Data download from tidecurrents.noaa.ipynb,data_acquisition/notebooks/Data download from tidecurrents.noaa.ipynb,5762,85c6c9d0773995fb50685b5389b239578dfe1916f7db30cb2ec766bf8fd79158,Embedded absolute paths retained
data extraction for wave height and radiation stress.ipynb,wave_reef/notebooks/data extraction for wave height and radiation stress.ipynb,1260799,5d021cd6f6fe598416539a5e49e33dc04f520cd6f3dc4ad6f8dd5fca6d1eb518,Embedded absolute paths retained
Data(wave period and wave height) extraction from dfsu.ipynb,wave_reef/notebooks/Data(wave period and wave height) extraction from dfsu.ipynb,13494,2765f3d331df13d877f7285938f1cf9f4811a6ce573879a9ca8c3ada05eec0e0,Embedded absolute paths retained
data_download.ipynb,data_acquisition/notebooks/data_download.ipynb,117556,11290c3df97e26b1fa5cffe554799449bf4eb32a7f19960a851fa3fc109d5e90,Embedded absolute paths retained
Decomposition of compound flood spatial plot.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Decomposition of compound flood spatial plot.ipynb,3732004,c67bc6e55ca9e27f5b929a559af7427e4bbd286fb2e424bc1230c00f066addaa,Embedded absolute paths retained
Depth exceedance curve for process based and bathtub.ipynb,compound_flood/inundation_and_comparison/notebooks/Depth exceedance curve for process based and bathtub.ipynb,102602,8962ad35f8a8c9b44841e765f6875cda3c1a7c06fad888ab9ff370a0c24f0e7b,Embedded absolute paths retained
Depth wise cell number and flooded area.ipynb,compound_flood/inundation_and_comparison/notebooks/Depth wise cell number and flooded area.ipynb,14974,51b1bda039586c9c819f4953ec0d183b4089c9ac63314805d080809768a036b4,Embedded absolute paths retained
DFS2 to Wind Rose.ipynb,mikeio_tools/forcing/notebooks/DFS2 to Wind Rose.ipynb,117903,09936f22f27335adb1efb468927465ebd9daa2cc3e6c71f1d93fced3ca406524,Embedded absolute paths retained
DFSU plot.ipynb,mikeio_tools/processing_and_plots/notebooks/DFSU plot.ipynb,3255,1348c0aa42044591ca0cb17189d78baefd7665a0071b6423bc9ceb1ed49232ff,"Embedded absolute paths retained; Similar-name variant; retained separately, not assumed duplicate"
DFSU plotting.ipynb,mikeio_tools/processing_and_plots/notebooks/DFSU plotting.ipynb,5557962,b561ccd1eef57f59c25a4167b602459dcc0fba69694c9ed8c2122804a498b36a,"Embedded absolute paths retained; Similar-name variant; retained separately, not assumed duplicate"
DFSU_Stat_to_Raster_Masking_by_polygon.ipynb,gis_processing/rasters_and_vectors/notebooks/DFSU_Stat_to_Raster_Masking_by_polygon.ipynb,664843,f231cc7f4bc5183006a7a7cd0fe466e273e3b04d5c27bd6cc592f5cf2b13d491,Embedded absolute paths retained
Discharge sensitivity.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Discharge sensitivity.ipynb,36519,ff46a0cbaeb4e995b555ce38be18c9d37a948c4e2f877310f55eb50a1ccba9fd,Embedded absolute paths retained
Dispersion factor map preparation.ipynb,salinity/notebooks/Dispersion factor map preparation.ipynb,2488,1419e22b2b4e0b49bf1b24de9c6319e2db9b8cb2547f19c7bfb128711b5c85bf,Embedded absolute paths retained
Driver influence on flooded extent and depth.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Driver influence on flooded extent and depth.ipynb,56910,600186b2ff252eefbffffca08f38cdabbc4fc68775cd36b6259519fc29c582f4,Embedded absolute paths retained
Drivers vs.Area Flooded.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Drivers vs.Area Flooded.ipynb,406704,4e7be3835abc8bb98d8a3ecda56ad3dad7479229283e7387db97e79ad06b537a,Embedded absolute paths retained
ECDF plot for water depth.ipynb,compound_flood/inundation_and_comparison/notebooks/ECDF plot for water depth.ipynb,411896,31540c65105e3697d1fdafcf7761b7525178d9ea3eb9e4357b125ba126e6f2af,Embedded absolute paths retained
Excel to point shape file.ipynb,gis_processing/rasters_and_vectors/notebooks/Excel to point shape file.ipynb,2924,a1a040220af0b26a8daf63e9d447e46ee6dd4851a84fddbbbf888450d99f1912,Embedded absolute paths retained
Excel to xyz file conversion for structure.ipynb,gis_processing/mesh_and_bathymetry/notebooks/Excel to xyz file conversion for structure.ipynb,3723,715475ad3fb14356cc9a66326c9d06063106cf6c91172a9855346ea55eea24ea,Embedded absolute paths retained
Explore surge river transition zone.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Explore surge river transition zone.ipynb,1263779,4bba839ce60b3f8de7dd28bd53a2a86fe6db4643c3bc5f2dc435a268affb2fc1,Embedded absolute paths retained
FAF tif file generation.ipynb,compound_flood/drivers_and_sensitivity/notebooks/FAF tif file generation.ipynb,754547,4918ed27c352eaebaae67581f4d28eac76eab899b116a105175457a6ff73dc4c,Embedded absolute paths retained
Finding Max Discharge from time series.ipynb,hydrology_and_tides/notebooks/Finding Max Discharge from time series.ipynb,9439,0a539e1a3af0844e09aa1db0fd050f3b5637dcdc7497443495bcd5380ad85885,Embedded absolute paths retained
Finding minimum and maximum elevation from xyz files.ipynb,gis_processing/mesh_and_bathymetry/notebooks/Finding minimum and maximum elevation from xyz files.ipynb,2068,089d4031a51756a657867e4c21e4e21c869464c053f1fb7acf2da482aec547a6,Embedded absolute paths retained
Finding number of elements and nodes form mesh file.ipynb,gis_processing/mesh_and_bathymetry/notebooks/Finding number of elements and nodes form mesh file.ipynb,1424,53444a1670632d5a7c52c225de185bb70a3fce5687aee42074fb34d4257539cd,Embedded absolute paths retained
Finding_flood_area.ipynb,compound_flood/inundation_and_comparison/notebooks/Finding_flood_area.ipynb,228997,e8096c198a839a59a9dc9ec0b6e5bdb56b1be629ecb3b95fc560c740035542d1,Embedded absolute paths retained
Flood affected population Chart.ipynb,compound_flood/exposure/notebooks/Flood affected population Chart.ipynb,3338212,13509d7dafe896fe24b092017956e6ebd1e52b8ed6ee403df8c447abc003f7dc,Embedded absolute paths retained
Flood information statistics.ipynb,compound_flood/inundation_and_comparison/notebooks/Flood information statistics.ipynb,11091,862030de2afb02a0426651d5727c08be482f35c61962d938d14123dec5eb8107,Embedded absolute paths retained
Flood map style 2.ipynb,compound_flood/inundation_and_comparison/notebooks/Flood map style 2.ipynb,965808,22e263ca126829c74c7341bce027ff3809d8497b14b01ddedb5f4d36be4376de,Embedded absolute paths retained
Flood Map with critical infra structure-Copy1.ipynb,compound_flood/exposure/notebooks/Flood Map with critical infra structure-Copy1.ipynb,651418,e9163d95648eee078b36f6031bb2d1bfe1ec6c7ae2edb491cac0571c7c24fae1,"Embedded absolute paths retained; Similar-name variant; retained separately, not assumed duplicate"
Flood Map with critical infra structure-Copy2.ipynb,compound_flood/exposure/notebooks/Flood Map with critical infra structure-Copy2.ipynb,1293905,1cf24f79fdc5757a67f92b6fefb8dfb47532a43edbc97553a1aa6b10e36a501d,"Embedded absolute paths retained; Similar-name variant; retained separately, not assumed duplicate"
Flood Map with critical infra structure.ipynb,compound_flood/exposure/notebooks/Flood Map with critical infra structure.ipynb,1767762,cbe6d7a42a438119a139adc8b04429bdfaa6b23488aaf301bd257aeceb821706,Embedded absolute paths retained
Flood map with the address point.ipynb,compound_flood/exposure/notebooks/Flood map with the address point.ipynb,913373,88d97aa94b1f2c141db8407aa7e2a8dd89fc3f2a6c0ca993c9d4a115fbf455bb,Embedded absolute paths retained
Flood_Depth_info_from_raster_max_mean_median.ipynb,compound_flood/inundation_and_comparison/notebooks/Flood_Depth_info_from_raster_max_mean_median.ipynb,13589,05ee72079bf23a958de6c7e65030579f05a5fd5a20d3e8fc4480514ceadecefe,Embedded absolute paths retained
Flood_Plain_Alteration_test_code.ipynb,compound_flood/inundation_and_comparison/notebooks/Flood_Plain_Alteration_test_code.ipynb,160789,7a909fa3eec218183a137cc14c4ae1ea94668c1c8a11376435ffb2ae21b68c05,Embedded absolute paths retained
Flood_sensitivity_to_hydraulic_parameters.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Flood_sensitivity_to_hydraulic_parameters.ipynb,251102,dc1ca1b644a4c687a8d2a62da95d33e6b6eea9674f4c00f687fb2cc3cbe6be12,Embedded absolute paths retained
Flooded area distribution by depth Bar chart.ipynb,compound_flood/inundation_and_comparison/notebooks/Flooded area distribution by depth Bar chart.ipynb,223551,356314fb1ee348b001b6c327de4fda1b1f9f04ff589fae5b56d02423f82abc73,Embedded absolute paths retained
Flooded area from DFSU Stat.ipynb,compound_flood/inundation_and_comparison/notebooks/Flooded area from DFSU Stat.ipynb,35287,e83c3df241fdc785019e1e5a31d51b09cf94f3b69be4fe2daed9db718e15fac9,Embedded absolute paths retained
format data.ipynb,gis_processing/mesh_and_bathymetry/notebooks/format data.ipynb,12017,31d35762b32bbfee56082df2c60e6333afbdb31b6495beb32ce2e2fc821d0cfd,"Embedded absolute paths retained; Similar-name variant; retained separately, not assumed duplicate; Similar source to format_data.ipynb"
format_data.ipynb,gis_processing/mesh_and_bathymetry/notebooks/format_data.ipynb,6157,ec54bdd8e79a1496dd1ac9b38b538ec0d026a5d7fc2a165dcc664eb8803fdd75,"Embedded absolute paths retained; Similar-name variant; retained separately, not assumed duplicate; Similar source to format data.ipynb"
Frequency analysis of discharge representation.ipynb,hydrology_and_tides/notebooks/Frequency analysis of discharge representation.ipynb,839052,31cd8f1f9d3414ee6157dd4a46deb5dc895bd920a8916eb5b0b04fda6e6f965c,
Frequency analysis PDS.ipynb,hydrology_and_tides/notebooks/Frequency analysis PDS.ipynb,285701,edd69af9e7138a49cf67889559531cfe97bfa35560baa7058c402f51bb2614b7,Embedded absolute paths retained
GCMs data processing.ipynb,climate_and_sea_level/notebooks/GCMs data processing.ipynb,350220,03b463d37296b9a6042f679378d3a6d653704a93cfbca43cb1aff94601658bd2,Embedded absolute paths retained
Heat map  and stack barchart of CI.ipynb,compound_flood/exposure/notebooks/Heat map  and stack barchart of CI.ipynb,1578417,c73f2d568fdddfe79b49ab6c28c42516de816ab9805ef2830988ca1603d46f19,
High water mark map along Texas coast.ipynb,compound_flood/inundation_and_comparison/notebooks/High water mark map along Texas coast.ipynb,230817,a39968b5f576d2270e1f05ff19a7a00078f81f25cf9375624c6fdf28fefd1ba8,Embedded absolute paths retained
Highwater mark validation Hurricane harvey.ipynb,model_validation/notebooks/Highwater mark validation Hurricane harvey.ipynb,1249866,139c5e09e1bc4ff68c93e298432dd723e6a6a6d079e95f44b4863af7a2d69100,Embedded absolute paths retained
Homework-2_Coastal_engineering.ipynb,coursework/undated/coastal_engineering/notebooks/Homework-2_Coastal_engineering.ipynb,698570,ecd33584b9ae9cd89a0d88cf1d3e038e6fc9dfdc55b7c6807a2cdebe5dbc1513,Course term not established; not labeled Fall 2026; Embedded absolute paths retained
Hurricane_Harvey_track_shape_file.ipynb,compound_flood/inundation_and_comparison/notebooks/Hurricane_Harvey_track_shape_file.ipynb,577450,6002f4349cdad0835714c97337dfec4745cf7233cfc77bb15a77b981215e67a7,Embedded absolute paths retained
HW-5_coastal_engg.ipynb,coursework/undated/coastal_engineering/notebooks/HW-5_coastal_engg.ipynb,222339,16a9fe93c33f1b5bfbb4852af6e30b73577f558fd8cf4fcc92ed7dea8ead35c1,Course term not established; not labeled Fall 2026; Embedded absolute paths retained
HW-6_Coastal_engineering.ipynb,coursework/undated/coastal_engineering/notebooks/HW-6_Coastal_engineering.ipynb,28674,f815e66d247d0a7a05952b24b6f21b43b0426317ef4f1d57bd5d482f121c69d4,Course term not established; not labeled Fall 2026; Embedded absolute paths retained
Identifying problematic element in mesh.ipynb,gis_processing/mesh_and_bathymetry/notebooks/Identifying problematic element in mesh.ipynb,418405,0e5535dcdf9407581d1131aa239dfec2f9f33be9777a78db346088008dfb0668,Embedded absolute paths retained
Inundation map only for VLM.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Inundation map only for VLM.ipynb,151124,a75792562ca53d9cafe4522ef49d49a74b7b722f810fd33137ea4cf987a5ea3b,Embedded absolute paths retained
Kt from WG1 and WG2 from CFD output.ipynb,cfd_reef/notebooks/Kt from WG1 and WG2 from CFD output.ipynb,325480,52989f5f66c546844508c30ca291bb6bc7f53665a2d6bd8830fe13b4d9119df1,Embedded absolute paths retained
Land topography update.ipynb,gis_processing/rasters_and_vectors/notebooks/Land topography update.ipynb,177160,abf141cec597290098d904816540e2ed92feb98875fa6d25470437d4dbcc414c,Embedded absolute paths retained
merge and clip raster data.ipynb,gis_processing/rasters_and_vectors/notebooks/merge and clip raster data.ipynb,12652,628f8423d6f6f62f1ca84b03132a78945877ba3a005004d9ff48620d920bc701,Embedded absolute paths retained
Mesh to DFSU file.ipynb,gis_processing/mesh_and_bathymetry/notebooks/Mesh to DFSU file.ipynb,6047,dcd7a2b4e08f1060b1a1201b5557a7df617b6e00614f34ab17008a608b1573ee,Embedded absolute paths retained
mesh to shape file.ipynb,gis_processing/mesh_and_bathymetry/notebooks/mesh to shape file.ipynb,6382,afa58c6e60d135cfc5ae65e25fa91646cc877a244ce4c19dd569dd24c789b644,Embedded absolute paths retained
Model performance matrics.ipynb,model_validation/notebooks/Model performance matrics.ipynb,1901902,3776d9de176f3528db042412cf103c64868602fbae8bd8d27d8bea46035e3288,Embedded absolute paths retained
Multiple plots for 2nd Paper.ipynb,wave_reef/notebooks/Multiple plots for 2nd Paper.ipynb,198701,014f6c8fd036743f8c56ecfdd4980ec90e3c72c9894cf39a36d708d26edc9849,Embedded absolute paths retained
Nueces and San Parricio county CI analyis.ipynb,compound_flood/exposure/notebooks/Nueces and San Parricio county CI analyis.ipynb,186917,d6e61f853a53ea893c30e81c3db0aba04b5afeaee1d59d5e77634b0ff873e8e6,Embedded absolute paths retained
Number of flood affected CI.ipynb,compound_flood/exposure/notebooks/Number of flood affected CI.ipynb,21160,0f69f692e9c774a4acadd8e913790cf3c1445d0b2d295060a2a2e0a6dc42679e,Embedded absolute paths retained
Plotting dfs1 file data.ipynb,mikeio_tools/processing_and_plots/notebooks/Plotting dfs1 file data.ipynb,560158,a739d6964938e53d80f60507be51996d146110c1ece909747a01cd91e71fd918,Embedded absolute paths retained
Processing Ground subsidence data.ipynb,climate_and_sea_level/notebooks/Processing Ground subsidence data.ipynb,446223,1287b762e7a6dda4a3b1bcedbc509080403b0ae715ecac09b9e4a51cc232322e,Embedded absolute paths retained
raster calculator deduction.ipynb,gis_processing/rasters_and_vectors/notebooks/raster calculator deduction.ipynb,5217,ce3fbb4c7acda59d92c8563861275528cfa4a1cd5e6fcfae0f4fc278b64eb7c3,Embedded absolute paths retained
Raster calculator nodata to given value.ipynb,gis_processing/rasters_and_vectors/notebooks/Raster calculator nodata to given value.ipynb,2062,53e8f2137b50385fdba6ef1324bbcfec9f33bb060c90bba17e854cdd24138aaf,Embedded absolute paths retained
Raster to contour.ipynb,gis_processing/rasters_and_vectors/notebooks/Raster to contour.ipynb,5078,64fa0cc0b4902f6323155b3f203891a8548e4bbd12c62dabf4b84f035e3057c0,Embedded absolute paths retained
regression_classification_lab.ipynb,coursework/undated/machine_learning/notebooks/regression_classification_lab.ipynb,786965,548c3dae0cb0d9d0d697a71c6814422a7563598b8d4e87ed993abc65fecd1d73,Course term not established; not labeled Fall 2026; Embedded absolute paths retained
Resampling of Raster file.ipynb,gis_processing/rasters_and_vectors/notebooks/Resampling of Raster file.ipynb,3612,0e8396eb4eab516bc0fc4e746e1633b274223007fae0b52f682fa72efbd2a662,Embedded absolute paths retained
Salinity contour.ipynb,salinity/notebooks/Salinity contour.ipynb,920357,f5ffb977ee06cee0ff39f6ee9a576753ee7a0cff740c20167aa5db6514e39695,Embedded absolute paths retained
Salinity hotspot for mean in Matagorda.ipynb,salinity/notebooks/Salinity hotspot for mean in Matagorda.ipynb,249813,3c9fd3255ec983cb10259cfc1408275e01c17e6d4e9928532fe4b0693ddf8336,Embedded absolute paths retained
Salinity time series from DFSU file.ipynb,salinity/notebooks/Salinity time series from DFSU file.ipynb,571600,ad4f8f8d4b4ebefa8834fd084a0981c580a286e0a5115fff7432864569ab2dee,Embedded absolute paths retained
scattered plot of process based and bathtub.ipynb,compound_flood/inundation_and_comparison/notebooks/scattered plot of process based and bathtub.ipynb,1190347,6f1212b6c21c0df40866108d69a5d12a9d08fca799da6390357f47208501aa15,Embedded absolute paths retained
Sea Level Rise projection plot.ipynb,climate_and_sea_level/notebooks/Sea Level Rise projection plot.ipynb,568966,12063df922d1b5d73a0015ff2e74af81e4c4129cfb02739ba794bb0b91bdc317,
sensitivity analysis for Nikuradse roughness.ipynb,compound_flood/drivers_and_sensitivity/notebooks/sensitivity analysis for Nikuradse roughness.ipynb,2218832,7cc88216898a2ab984196bc0ac7a27bedf9b71eabab52d3ad50e17f26e39e2b7,Embedded absolute paths retained
sensitivity analysis fringing reef west side.ipynb,wave_reef/notebooks/sensitivity analysis fringing reef west side.ipynb,157465,3ddf2c98fdab66a9e58bdf1270370206ef20102a736998e8cf9621ed7cf1a51b,Embedded absolute paths retained; Similar source to Sensitivity of northside reef.ipynb
Sensitivity east side barrier reef.ipynb,wave_reef/notebooks/Sensitivity east side barrier reef.ipynb,1693433,9d2c3177feb8c05f7224e7cacdb52ccb30ef65284bedbbaadc8995b23300bad5,Embedded absolute paths retained
Sensitivity for individual driver for 1% change.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Sensitivity for individual driver for 1% change.ipynb,7355,2c392f48168cd1f769c9a4330b8fe168fda861008f62cbff0cf77154c2c01186,Embedded absolute paths retained
Sensitivity northside barrier reef.ipynb,wave_reef/notebooks/Sensitivity northside barrier reef.ipynb,70658,b3b7077db494de558e88a5ea3a91465c1ba0d5034d1221908e4e8c3ac7239cf2,Embedded absolute paths retained
Sensitivity of northside reef.ipynb,wave_reef/notebooks/Sensitivity of northside reef.ipynb,5381,2e200e1b9f168866f97bb57c4a7b19d9fafc070eb90d31b754c25c06c520b4ac,Embedded absolute paths retained; Similar source to sensitivity analysis fringing reef west side.ipynb
Sensitivity_index_for_drivers_perturbation.ipynb,compound_flood/drivers_and_sensitivity/notebooks/Sensitivity_index_for_drivers_perturbation.ipynb,402727,6d360abffb1f6e3264266957962c59fe4d1dd6c8cda3957baf3cbc2794aafd66,Embedded absolute paths retained
Separate IG and SS.ipynb,wave_reef/notebooks/Separate IG and SS.ipynb,8159,64d243914b6af1363b08a530dd862ce25846e325e677a735556ec1d463d81ae0,Embedded absolute paths retained
sig wave height wave power and radiation stress along transect west and east reef.ipynb,wave_reef/notebooks/sig wave height wave power and radiation stress along transect west and east reef.ipynb,1334094,1ce50ce99278d43430aebda94f499fc028d4ca01751770d60609d33eb453871b,Embedded absolute paths retained
sig.Hs and Sxx along bathymetric profile.ipynb,wave_reef/notebooks/sig.Hs and Sxx along bathymetric profile.ipynb,3339759,32d94e847ee517677c5d0a39ba0e355a0550834d5d8e0fd3b9e1897ec63c64fc,Embedded absolute paths retained
Slope from Bathymetry Profile.ipynb,gis_processing/mesh_and_bathymetry/notebooks/Slope from Bathymetry Profile.ipynb,6660,331b3017804c012f9d7b2b7bdd4da330dd9ebd87af90f2d75642c82bf22c70c6,Embedded absolute paths retained
Spatial footprint of wave power attenuation.ipynb,wave_reef/notebooks/Spatial footprint of wave power attenuation.ipynb,2056746,6dfab00142ffc6f9792c388d04c7803db9ec2dab8e479817849204cd482ad6d0,Embedded absolute paths retained
Specific depth areal extent overlap processed based and bathtub.ipynb,compound_flood/inundation_and_comparison/notebooks/Specific depth areal extent overlap processed based and bathtub.ipynb,1181285,9973f651dd4126732b0564b21d2649364f9417aa304240de0ccc53bf9ae4c9d8,Embedded absolute paths retained
Specific water depth elevation range.ipynb,compound_flood/inundation_and_comparison/notebooks/Specific water depth elevation range.ipynb,3993,30621aa104a0453f67c8906abd78e8036f1c3626c5d4f7079ee4fbc651fe75ca,Embedded absolute paths retained
Spider_Chart_for_MCA.ipynb,visualization/notebooks/Spider_Chart_for_MCA.ipynb,494440,0a5c14982a0785a1b3a43557edec421165ec234e8deb33625619976699ce5103,Embedded absolute paths retained
Statistics for difference map compound vs bathtub.ipynb,compound_flood/inundation_and_comparison/notebooks/Statistics for difference map compound vs bathtub.ipynb,6191,6e1fedeea62081b0d739dd12f78d23eedfe012909a88276af716c6b37f6d70c9,Embedded absolute paths retained
surge river and SLR individual component.ipynb,compound_flood/drivers_and_sensitivity/notebooks/surge river and SLR individual component.ipynb,685968,835f3a3fc2de1199102ceeeb0706fc60536c84bba168fa9c3f2f04ed99c2acc5,Embedded absolute paths retained
"Temporal variation of wave height, wave power and radiation stress.ipynb","wave_reef/notebooks/Temporal variation of wave height, wave power and radiation stress.ipynb",227486,e251700d363618dd0af1056668d4167673a57dc9778a6435a6ca18e1e3ce80fe,Embedded absolute paths retained
tentative tidal water level.ipynb,hydrology_and_tides/notebooks/tentative tidal water level.ipynb,66154,3254da0012f059f45dfb8521bbefe087b67b19376f4c56a07e3b42bed9508b3b,
Timeseries comparison plot.ipynb,mikeio_tools/processing_and_plots/notebooks/Timeseries comparison plot.ipynb,62893,738d1c7d985538e8a155cfa7b55ea227631693666a48cc3a14da99c8d715442b,Embedded absolute paths retained
Uniform value raster map.ipynb,gis_processing/rasters_and_vectors/notebooks/Uniform value raster map.ipynb,9641,2e7a17ac64f236b8052e294d68edbd063b57e1a27ace49c9a4fd417f8e01dd22,Embedded absolute paths retained
Untitled.ipynb,needs_review/notebooks/Untitled.ipynb,6163,031628580b938e878b1fea367a04938b3248d274cfc6ce294ada11a671174881,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled1.ipynb,needs_review/notebooks/Untitled1.ipynb,337,82f68c0d25bf1fc9a522334658a24c6513328fe6581fd5eb7126cd2fb1a9a914,Untitled: purpose/provenance needs review; original filename retained; Empty source cells; retained as supplied
Untitled15.ipynb,needs_review/notebooks/Untitled15.ipynb,95318,7231f5afd15636c109f99c106a41f09a3c272f8facf2771480a96994698ef2bc,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled16.ipynb,needs_review/notebooks/Untitled16.ipynb,349416,362814c58152c2712eeb9746f357b04dd67c59ef3ac2357bc54d8b2560a1b4fa,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled18.ipynb,needs_review/notebooks/Untitled18.ipynb,209967,a355efdd358190e6212721afde54df26ff00fc174094d98e2b2a4f0350ea93b1,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled2.ipynb,needs_review/notebooks/Untitled2.ipynb,14816,1dc4f6c66601efa0c7f96247b16645f6241d3bca07fef8783ab95245974a6068,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled24.ipynb,needs_review/notebooks/Untitled24.ipynb,7247,333cde5914b8a8f65a3880a107c1d2c17b5175ae26a01c342d197c01431f0fcd,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
Untitled26.ipynb,needs_review/notebooks/Untitled26.ipynb,5211,d0ed16f5ccc81b92c63483d788d6defae865c977018ba021477519a5c740895d,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained; Credential placeholders only (YOUR_API_KEY / YOUR_USERNAME / YOUR_PASSWORD)
Untitled3.ipynb,needs_review/notebooks/Untitled3.ipynb,3049,d40492e19cfd5f2bcf8f41f31f122268996bb47750d613a1e740189e1141a824,Untitled: purpose/provenance needs review; original filename retained; Embedded absolute paths retained
